id,category,canonical_prompt,t2i_helper_prompt,notes
T01,furniture,"A dining chair with a tall backrest and four straight legs.","A dining chair with a tall backrest and four straight legs. Single centered object, plain studio background, no extra objects.","Stable support structure; easy to rate."
T02,furniture,"A rectangular sofa with boxy armrests and a low seat.","A rectangular sofa with boxy armrests and a low seat. Single centered object, plain studio background, no extra objects.","Good fit for standard bricks."
T03,furniture,"A bookshelf with five horizontal shelves and two side panels.","A bookshelf with five horizontal shelves and two side panels. Single centered object, plain studio background, no extra objects.","Tests repeated layered structure."
T04,furniture,"A four-legged stool with a square seat and cross supports.","A four-legged stool with a square seat and cross supports. Single centered object, plain studio background, no extra objects.","Simple support geometry with moderate fragility."
T05,container,"A storage cabinet with two doors and three stacked drawers.","A storage cabinet with two doors and three stacked drawers. Single centered object, plain studio background, no extra objects.","Boxy and semantically clear."
T06,container,"A small suitcase with a rectangular body and a top handle.","A small suitcase with a rectangular body and a top handle. Single centered object, plain studio background, no extra objects.","Mostly boxy with one attached part."
T07,container,"A flower pot with a wide top opening and a thick base.","A flower pot with a wide top opening and a thick base. Single centered object, plain studio background, no extra objects.","Hollow-like shape without special-part dependence."
T08,container,"A mug with a cylindrical body and a large side handle.","A mug with a cylindrical body and a large side handle. Single centered object, plain studio background, no extra objects.","Tests side attachment while remaining simple."
T09,object,"A desk fan with a round base, a short stand, and a circular frame.","A desk fan with a round base, a short stand, and a circular frame. Single centered object, plain studio background, no extra objects.","Moderate structural challenge without vehicle-specific parts."
T10,object,"A teapot with a round body, a short spout, and a curved handle.","A teapot with a round body, a short spout, and a curved handle. Single centered object, plain studio background, no extra objects.","Organic-plus-functional shape; still compact."
T11,object,"An apple with a rounded body and a short stem.","An apple with a rounded body and a short stem. Single centered object, plain studio background, no extra objects.","Very simple object for shape faithfulness."
T12,object,"A cactus in a pot with a thick central stem and two side arms.","A cactus in a pot with a thick central stem and two side arms. Single centered object, plain studio background, no extra objects.","Branching but still standard-brick-friendly."
